date,search_term_normalized,total_search_impression,total_search_click,content_id_hashed
2025-06-27,cocuk_kiz_mayo,2.3953763678826692e-06,0.0,90feecae99ac21ff
2025-07-07,kot_pantolon,1.4372258207296016e-06,4.790752735765338e-07,ff85d4e14280f57f
2025-06-22,gecelik,0.00011593621620552119,4.311677462188805e-06,8bea12a22a38d2e8
2025-06-20,canta,4.7907527357653384e-06,0.0,333fdfc7b60e5b0e
2025-06-14,boxer,4.790752735765338e-07,0.0,df74bcf645a6eea3
2025-06-21,ayakkabi_babet,9.964765690391904e-05,1.4372258207296016e-06,859aef7d666d4026
2025-07-10,hasir_sapka,2.1558387310944024e-05,0.0,3ef22c4d9b6719b0
2025-06-14,kadin_sandalet,4.7907527357653384e-06,0.0,c4e6e33815222d0e
2025-06-09,abiye_beden_buyuk,2.1079312037367488e-05,0.0,2e87aec3c0e694af
2025-06-23,elbise_sifon,0.0004709309939257328,1.3414107660142947e-05,e42e524fd50d5ddc
2025-07-10,bebek_kiz_mayo,4.790752735765338e-07,0.0,f59a9cdc03b8fc70
2025-07-05,oversize_tisort,5.269828009341872e-06,0.0,eb7aeb2548047e56
2025-06-17,bikini,0.00010108488272464864,1.4372258207296016e-06,ca41f91dc00aaa9f
2025-06-13,giyim_kadin_tesettur,3.066081750889816e-05,1.4372258207296016e-06,7a5cea51a54bf093
2025-07-05,kupe,0.0008862892561165876,9.102430197954142e-06,2716963463453c93
2025-06-07,esofman,0.0005351270805849883,1.1497806565836813e-05,8a70169c765f15a5
2025-07-06,yelek,2.3953763678826692e-06,0.0,e048f6a204683268
2025-06-21,corap,3.353526915035737e-06,0.0,009a1860821148d8
2025-06-24,pantolon,4.790752735765338e-07,0.0,164fb04203b15a5c
2025-07-05,bot_kadin,1.628855930160215e-05,0.0,019ce1bc569b60b8
2025-06-10,ayakkabi_topuklu,7.186129103648007e-06,0.0,700fcdc718a13a25
2025-07-07,bustiyer_korse,7.186129103648007e-06,0.0,3e40296299af5220
2025-06-16,kadin_sapka,5.557273173487793e-05,1.916301094306135e-06,322d5e445f53855d
2025-07-06,kadin_terlik,0.0001317457002335468,9.581505471530676e-07,5a5a530b62446ce8
2025-06-27,kadin_saat,2.1079312037367488e-05,0.0,de6d4a96a8b24b36
2025-06-30,elbise_mini,1.245595711298988e-05,0.0,c870afebcffa2b1c
2025-06-22,bikini_takim,1.1976881839413346e-05,0.0,6889e91608d29d61
2025-06-20,alt_takim_ust,1.4372258207296016e-06,0.0,7012a1b5261dd392
2025-06-15,elbise_kadin,4.7907527357653384e-06,4.790752735765338e-07,a96f0fc90f27a4db
2025-07-04,abiye_saten_tesettur,1.8204860395908285e-05,9.581505471530676e-07,84f00effc6e3f073
2025-06-17,kadin,1.916301094306135e-06,0.0,e3034a9579980f10
2025-06-22,canta,4.790752735765338e-07,0.0,e28ef1f1390c56f8
2025-07-03,kadin_yelek,3.832602188612271e-05,4.790752735765338e-07,c5bb48d4972f4c6f
2025-06-20,kadin_tshirt,4.790752735765338e-07,0.0,7d443ae315e02e1f
2025-06-15,takim,1.4372258207296016e-06,0.0,9b1fc47c1ee1bf9b
2025-06-07,dolgu_terlik_topuk,9.581505471530676e-07,0.0,9259aca9bc3df2ff
2025-06-19,elbise_mini,3.640972079181657e-05,1.4372258207296016e-06,55a3e6a1f8f3dd63
2025-06-23,beyaz_bluz,3.83260218861227e-06,0.0,8a43633865eff8a0
2025-06-19,ayakkabi_kadin_spor,4.790752735765338e-07,0.0,0a3a20c5f13527a7
2025-06-26,alt_kadin_takim_ust,1.7725785122331752e-05,0.0,9a860c44204ca56d
2025-06-29,kadin_sandalet,0.0014587842080405456,2.9702666961745098e-05,dc7afb96b0367160
2025-06-23,ayakkabi_erkek_klasik,4.790752735765338e-07,0.0,68c4a57f6256b20c
2025-07-09,ayakkabi_erkek,2.3953763678826692e-06,4.790752735765338e-07,3cbc6770d2752381
2025-07-03,alt_takim_ust,9.581505471530676e-07,0.0,0f1e997c3b735f95
2025-06-21,gozluk,0.0009940811926713077,3.066081750889816e-05,8a04e92451a1dbdf
2025-07-05,hasema_mayo_tesettur,0.0006932219208652445,8.144279650801075e-06,a30baa69791c7b2a
2025-06-12,bayan_gozlugu_gunes,1.4372258207296016e-06,0.0,8163523da737dd66
2025-06-25,kadin_sandalet_topuklu,4.790752735765338e-07,0.0,958443d54968183c
2025-06-13,terlik_topuklu,2.8744516414592032e-06,0.0,c6f9b7e9714e2611
2025-06-17,bayan_elbise_yazlik,1.916301094306135e-06,0.0,301e57829a11fd4c
2025-06-13,erkek_tisort,5.269828009341872e-06,0.0,3c85d59b78c2251a
