user_gender,user_birth_year,user_tenure_in_days,user_id_hashed
Bayan,1992.0,2619,94238d723579f0bd
UNKNOWN,1998.0,1054,b041bad2ad93c114
Bayan,1996.0,2179,90361194b60e5f3b
Bayan,1979.0,1930,e570ed7193aa197a
UNKNOWN,1987.0,1495,f71c3c802b3934a1
UNKNOWN,1998.0,1540,ceb6cf0d57e35661
Bayan,2001.0,2447,d8cdd9690d4528f4
UNKNOWN,,715,53a2d76b42ae38be
Bayan,1995.0,1788,aaaf50b9e0b5d5bd
Bayan,1981.0,4892,c2a5e5e2c55a8730
Bayan,1993.0,2815,033e9586eec26ed1
Bayan,1993.0,4723,856935c705c9e309
Bayan,,993,d5ddb66c7982e5c6
Bayan,1995.0,2459,1d4cca178cb7b17b
Bayan,,1009,8023760656eb17ac
Bayan,,1689,7e233c7fdc3ee678
Bay,1900.0,2164,55688c0d873ad4c6
Bayan,2001.0,1820,1d8d05ed16f732dd
Bayan,,1764,2d4154739ecb7576
Bayan,,354,14eade68c26f6f1d
UNKNOWN,,1282,5209cdd56a9e1ae7
UNKNOWN,,307,91a97c7b10e94b0c
UNKNOWN,,655,5a4c08fd9511526e
Bayan,,1646,584333cfd24c4fd7
Bay,,4574,92336c48ba7c0c5f
Bayan,1994.0,3744,5e686260133206e9
Bayan,1990.0,2005,e4ff588968ef7827
Bay,,828,0337190f2294332c
Bayan,,3411,55b4b400d05935e5
Bayan,,1390,691ba9cc962e00bd
Bayan,,2613,39851de7ffcedaa1
Bayan,1997.0,2953,a5e73f2ff8449ba6
Bay,,1897,03348c949b5880d1
UNKNOWN,,170,0b7294e20db3d8b6
Bayan,,2380,c36c7803cc3d1fdf
Bay,1998.0,1712,acac235af025395a
Bayan,1981.0,2010,93115e8e87c53aa5
Bayan,1993.0,3455,19436cd74c0893f1
Bayan,,446,4429006a0ee1c2d7
Bayan,,638,5124afc675ed9259
Bayan,1980.0,2356,fde164a2a9c15830
Bayan,,1587,356f8471d41d4711
Bayan,,4903,24a400431095a487
UNKNOWN,,312,89c18fd439b3c217
Bayan,1995.0,2476,34dba24f00de0306
Bayan,,1090,6e6f922ad9e7520d
Bayan,2018.0,2241,563787506d395df8
UNKNOWN,,1291,3cf5a041dfee4018
Bayan,,2378,9ec0c95afdebc1a8
Bayan,1998.0,1258,139dd2e25ba55d77
UNKNOWN,,302,0f6758637fdac730
UNKNOWN,,1292,530f85ba4beedd3b
Bayan,,1837,eb7dfed1e87fbc08
UNKNOWN,,391,362273afd190326e
Bayan,,2728,5afc426cd72078f6
UNKNOWN,,37,b1a1dced850f5fd1
Bayan,,99,4a419076464bc23c
Bayan,,1789,e8204a192935c3a2
Bayan,,1854,2e2442a6cb20769e
Bayan,1992.0,4909,cccc97bf6fa90dd3
Bayan,1993.0,4910,c1b06a517144465e
UNKNOWN,,1039,6e71087c71e2f647
Bayan,1998.0,2977,9557129695a29030
Bayan,,726,6d0775decea3f61d
Bayan,2001.0,3470,72e0c49b99d5f7fd
UNKNOWN,,1279,d64caf79ab9c2632
UNKNOWN,,931,7abcf5f5e25e2429
Bay,1980.0,2303,89d562e2414f82ef
UNKNOWN,,1077,d1197505c37b151e
Bayan,,1796,a4d65e86b0876c88
Bayan,,428,18a03a98524fec97
Bayan,,1276,241ea9623cd5b54d
Bayan,1972.0,2179,9744c7cf440e7707
Bayan,1900.0,1935,a0e7ab7ced45971e
Bayan,1994.0,2692,03db23ef9e76f5b4
Bayan,1999.0,1936,f1d9302ba5e2fe91
UNKNOWN,,850,935d8f0f6f994c5c
Bayan,,828,abd0976cd776651d
Bayan,1975.0,5550,5d1a2750604b2507
Bayan,2002.0,2125,250e05fe8ae9b095
Bayan,1996.0,3849,aed4f46e0b387c8a
Bayan,1993.0,4017,1aa4110586d56a63
Bayan,2003.0,2489,4ac44822244d53c7
Bayan,2000.0,2853,d59c61711dfce065
Bayan,,1824,10ade42940ee6ee9
Bayan,1991.0,2311,387831d7f6a63ccc
Bayan,,882,2f6d3e881b699218
Bayan,1997.0,2374,dd1e64a8c712d34f
Bayan,,1911,aa3022ea2d56ecf4
Bayan,1999.0,2916,c6b914c5028bd179
Bayan,1999.0,2451,3fdcbf57bdab5e52
Bayan,1987.0,5582,cead91d5535b76b4
Bayan,,1336,72740da43881b277
Bayan,1972.0,5023,5b02f103b88bd8bf
Bayan,,1793,ece484e8faa988ad
Bayan,,1916,8c1367de425c2ff4
UNKNOWN,,555,bfde810901ca6942
Bay,,2595,7a8c2ab36fbae69d
Bayan,1900.0,1862,e7aa5a467ea82c77
Bayan,,390,1bc41b088a5d717b
